Episode,Return
1,121.68420980993714
2,131.5677700751743
3,124.74509058651606
4,121.4114706766201
5,125.23455138243438
6,119.35734419136625
7,115.34635841798544
8,123.92650361009814
9,126.66278619729094
10,113.1607091799029
11,127.36449005724168
12,123.79434627077998
13,129.18263652299956
14,136.3004885579405
15,116.1456633942757
16,120.24633436461166
17,118.80857024490419
18,115.26153888632288
19,128.98075390893504
20,131.60484349916024
21,118.68956546753384
22,117.36960114922354
23,113.98857134557132
24,121.98532301213147
25,115.21435011959758
26,121.88265415518883
27,121.25243398196122
28,122.65254672209849
29,121.55386914165001
30,120.46018385991192
31,124.53041914436474
32,121.8791755118842
33,123.1018769167019
34,109.26288246918648
35,114.65951705590649
36,120.13440445044948
37,117.06181859358246
38,129.73364232052876
39,112.78966093177841
40,126.37207037852515
41,120.99791735040817
42,127.05474386980663
43,122.93205022554181
44,127.48288228457636
45,113.75550577251227
46,121.85220952731004
47,120.72972904217409
48,139.37606767104575
49,124.0592319806926
50,110.22316600302285
51,120.19530712027704
52,125.04196249428233
53,117.2211144509475
54,123.3341941592734
55,115.62102096624389
56,117.62742936839663
57,115.0141803672421
58,112.73830220478098
59,126.18760259903668
60,115.21713355734104
61,123.63778826329037
62,115.91596387760437
63,119.65079746105903
64,129.74711832227126
65,115.72973977859567
66,116.86938276535061
67,111.16240810938939
68,117.01922993514788
69,117.83385843268952
70,116.39144449557116
71,119.64750116181999
72,129.80303195789497
73,125.92498191664461
74,114.57586317228056
75,122.02266058095536
76,103.62649745779422
77,132.40551623628602
78,121.53261390783636
79,121.36993878884195
80,114.37938055958925
81,112.393052193978
82,123.79909028839161
83,128.10454055346037
84,119.32509718923345
85,126.13504179198019
86,111.62555158324926
87,117.26973281813714
88,114.38749074792608
89,130.34987914182264
90,126.6387373484594
91,118.99129517281376
92,114.81027094022325
93,123.5901296972268
94,116.50966365643467
95,110.72503013217461
96,123.03357078354358
97,117.56253515854414
98,114.2539202611867
99,118.5822308440316
100,125.49047242237057
101,124.51302167320762
102,110.72679646874685
103,130.59819310836735
104,116.26517235009192
105,112.33318933740429
106,116.81532727412866
107,132.32069897884236
108,122.67484217905042
109,123.79908448215383
110,113.56363448280479
111,126.60456120133858
112,121.55198459774348
113,116.8439981424305
114,130.7014806903935
115,126.61882948038303
116,132.32506211397146
117,116.16371948265612
118,114.23113052513725
119,119.12707863129283
120,122.51294310076955
121,127.42374181979395
122,129.91748702949678
123,126.2772246922282
124,118.70851147682838
125,122.03604454397878
126,114.70594153632642
127,130.77573098918933
128,124.89617100129044
129,121.08952907535584
130,110.02084292963494
131,123.5773821697137
132,121.49889728643964
133,124.70868070407433
134,120.32255170491064
135,115.29062812881071
136,117.34816719852351
137,121.15513801849977
138,112.30884398579424
139,125.14389331363952
140,119.81630608217104
141,123.31096672295075
142,119.7384959484132
143,122.03765960038015
144,120.02115266733024
145,119.35941564427864
146,122.70982196999823
147,120.02216234624093
148,119.36090011883553
149,108.45431915111658
150,120.14855514255359
151,118.9361978966311
152,125.26836336185679
153,125.96650307982603
154,142.51438263638892
155,121.6500389532512
156,127.17943314585402
157,119.71915435766357
158,119.43137535402532
159,121.15616039440161
160,125.3008378773098
161,121.37376700782616
162,116.46944198357828
163,118.007560650447
164,123.17513614832282
