Episode,Reward
1,106.64657564286611
2,107.2466223015767
3,107.38106237607936
4,107.97108525262027
5,107.4987507204047
6,105.79861850550598
7,102.7727238908172
8,106.92101868520463
9,107.27432585552472
10,110.65575166895317
11,107.37637745876
12,109.54947338666643
13,106.50559521757671
14,107.6803244028197
15,109.15072535864287
16,106.49287932306913
17,105.6322647050702
18,106.27842163526338
19,105.20985153253142
20,108.07986182296717
21,102.65820266045685
22,112.54444357261077
23,108.9967780598802
24,109.56279193423597
25,108.81188582814518
26,107.1806617909738
27,108.29390294079022
28,103.46088185081764
29,107.00115786005168
30,100.9907982504134
31,104.24056255422462
32,107.6708898013309
33,107.6231363423232
34,110.47137430600824
35,108.98785058898969
36,106.17401161932771
37,105.33925356259017
38,102.25758882618351
39,103.90460744158834
40,104.41464188872138
41,108.44677485855998
42,107.62467608969762
43,107.56410916317841
44,111.42525886622407
45,110.26850051422662
46,108.15846093888766
47,108.6704545238176
48,106.37765518223668
49,106.7678963031916
50,107.9041250896092
51,110.01272399673314
52,103.79033878405139
53,107.1687401366631
54,111.18916272015265
55,110.13157320776364
56,109.19314342123252
57,106.20400788172287
58,107.62837078333037
59,111.80524686482633
60,108.83989130059308
61,107.8083515069628
62,110.44683941924299
63,112.09540353520705
64,103.17644975504925
65,111.71375991257278
66,105.38078351802213
67,109.54886760314211
68,109.21165783483414
69,110.8407572394519
70,107.44211442598896
71,109.4286736250393
72,105.75759829995522
73,106.69385944375195
74,114.579729760234
75,105.39075162994905
76,106.00529296374366
77,108.09519993025579
78,103.07786481490386
79,103.62385945497908
80,106.00869844535437
81,107.67065044329254
82,105.61290712795501
83,107.2195994269571
84,105.5110444448895
85,105.59371412461277
86,107.06714587232713
87,107.8036428230698
88,104.97487742159885
89,107.73339513838157
90,108.10079884869029
91,107.57669674515338
92,105.3384543124492
93,109.1823630612491
94,112.86087162687397
95,107.4247370555416
96,108.87196094728225
97,106.18105944178133
98,103.10308043915165
99,103.2850501610183
100,106.24926201863552
101,106.34855935937037
102,101.80397226594192
103,106.34482096004012
104,103.18336753898173
105,107.85476962369137
106,104.4963636889178
107,109.34195880206934
108,114.14388253279506
109,108.13117648511863
110,109.00748194328105
111,106.40963327371715
112,106.86806670662911
113,107.6482539791352
114,104.64709415267757
115,108.67308862203951
116,104.77583278038935
117,103.79889097712048
118,104.46754313129324
119,108.7322230788072
120,102.69737612210402
121,105.55393260566368
122,103.25134591405079
123,106.56065172963426
124,108.8405602530695
125,107.67248210226492
126,104.59432396191289
127,108.97316119544091
128,103.31775123763438
129,107.21323095998893
130,107.46556264558447
131,105.81200586829081
132,108.98267849104347
133,108.00784463815054
134,106.77218522962491
135,105.78412684990977
136,104.1279139027502
137,103.50092794495977
138,106.46611755978843
139,104.55243471092157
140,108.15969116784572
141,109.42858746157529
142,107.38005370579222
143,104.57109461136665
144,108.90291849291597
145,104.16551082857332
146,104.31763393758472
147,106.34879819500584
148,109.28150986413372
149,103.86582987815416
150,107.80942641548111
151,105.68988290994155
152,109.97379345924234
153,106.35567340327721
154,103.98592061140059
155,109.2986440340135
156,106.80289875665774
157,103.44039557865362
158,109.42202084234086
159,109.62008067029826
160,106.99601621953384
161,109.28204006465717
162,106.1271910963892
163,110.22775082614434
164,105.52818982429221
165,102.40790179914586
166,101.54819130869342
167,107.68964548234285
168,105.13212750843266
169,102.6393392724107
170,106.53292049218528
171,106.1590754520942
172,109.14405780744057
173,104.27145626136169
174,110.56950507383822
175,109.48092175692818
176,102.19638692171581
177,102.07276970676871
178,103.2463248679539
179,104.30002286972618
180,106.55229810434363
181,104.50440853191662
182,105.7287113082081
183,105.71205996613847
184,109.50783326218024
185,112.26892811505857
186,112.217334115032
187,106.12702751308139
188,103.89894465154268
189,106.80802005070295
190,107.72575482597543
191,111.73273718827218
192,99.86761748188144
193,104.55355111508273
194,108.83493525242093
195,106.53379501742513
196,105.22964749708433
197,106.13080149737422
198,105.44348758699891
199,107.20979058664503
200,102.49005501449749
201,108.87946601271099
202,113.04187362127873
203,108.96374649386803
204,106.66327078628335
205,108.51355418950843
206,104.76925266018914
207,106.0898403845569
208,103.35799418342826
209,104.86428059205664
210,108.7438333760083
211,106.78342699872125
212,109.94556544646744
213,104.48371432065069
214,108.00583718833755
215,107.12614035903547
216,105.42578871005858
217,109.51541792977687
218,106.49347448189997
219,107.37986809737625
220,106.98830767621902
221,102.62981574867175
222,104.7014191651875
223,110.36528507182906
224,106.64137661939591
225,112.43190425153462
226,111.28474836494661
227,109.12795488660431
228,111.89858947282951
229,104.44982114743468
230,103.68842234386923
231,106.20389886600579
232,107.70103933819578
233,109.09934178260983
234,109.7158633263173
235,101.33726929986497
236,108.02557641060939
237,107.60161958699591
238,104.81319672670107
239,109.76341691046727
240,101.07359442030675
241,104.68041484520965
242,109.05881699574016
243,110.63052393338349
244,109.53227440399287
245,104.64797451671879
246,109.94678652397003
247,108.81097158418704
248,103.72429825256704
249,103.86707420543287
250,104.22357641357806
251,106.95626192629486
252,107.85110207912082
253,108.6849824474737
254,108.20682172717095
255,100.49533745692963
256,102.99390908049824
257,106.3901851229696
258,103.83332753482198
259,108.55785022463104
260,102.37505375222506
261,110.14820138556342
262,106.30545388520765
263,107.54508217385396
264,107.99164055855533
265,113.06659108313349
266,101.04027255201288
267,106.92583576031431
268,104.82062616527253
269,108.62077412448846
270,101.78328900909338
271,107.82071470321436
272,106.0732737801497
273,108.73034269776122
274,106.36537550504167
275,105.16768414197482
276,108.20365241538198
277,105.43458940156219
278,105.22890818457509
279,108.88785661778164
280,105.97708034677582
281,112.36409613281432
282,109.42462751218132
283,106.47181394438391
284,109.06665647740586
285,107.52348670126212
286,108.59208670326912
287,108.26312970892998
288,108.02244220144057
289,106.95614747215254
290,109.14058118087026
291,101.43123375962097
292,104.52794656531259
293,109.72432796766218
294,105.6378976182184
295,106.31111677425085
296,109.05537697108339
297,108.8434114554149
298,106.86356952382542
299,109.68715531811101
300,102.96675864064339
301,103.45300143309264
302,109.03748461180619
