Episode,Return
999,78.35763313725046
1999,113.62159306295152
2999,111.92585917290396
3999,110.67308063214102
4999,78.8457276661411
5999,161.94396378880228
6999,113.73409664498222
7999,130.67211697989381
8999,105.08868292023617
9999,123.10806775781825
10999,135.6030851365208
11999,115.84234000701642
12999,106.39490880737951
13999,117.4930489620941
14999,119.3980368375909
15999,158.02297480711263
16999,181.3756662355313
17999,109.85548049737982
18999,173.9402917624982
19999,180.85572211590176
20999,204.58335279334162
21999,164.9099421308754
22999,206.81943060911334
23999,182.52183563356488
24999,192.34206559977002
25999,148.58170060511117
26999,217.05623255189184
27999,180.94099322959178
28999,172.0814393788598
29999,174.65980390131574
30999,148.72747571987844
31999,181.19107477532378
32999,206.3444687321799
33999,206.50274158172638
34999,212.16918555708827
35999,280.60857731128414
36999,269.0618454530312
37999,258.4231865307315
38999,323.87313456688287
39999,274.8167847706593
40999,264.6045054374281
41999,281.8131746720707
42999,255.93109169554018
43999,243.63343404064167
44999,290.9584577011716
45999,253.96319142378087
46999,208.78046488714986
47999,265.94277358640903
48999,173.77750086857446
49999,161.16336884020996
50999,302.0693773158917
51999,197.91992916415307
52999,131.14357972059446
53999,219.10684285226284
54999,104.30042579186374
55999,135.70650076065664
56999,107.74447468032479
57999,141.99407842493264
58999,139.25469557784453
59999,166.4773365608117
60999,182.419657125476
61999,148.81473238924045
62999,169.63618030059456
63999,167.4599024944784
64999,164.1278313153722
65999,187.87831126372228
66999,137.31322311381436
67999,192.59209708301017
68999,208.0918456031787
69999,160.7997332296176
70999,293.8026194225966
71999,181.06039175564476
72999,162.99160055398372
73999,238.56854131202704
74999,217.30475111834318
75999,275.4549643898405
76999,234.3760903690283
77999,211.03944029275243
78999,238.84532492825437
79999,310.0659720495161
80999,322.95504155819515
81999,307.59470053075034
82999,194.58056592471056
83999,272.6576861558535
84999,214.811206616249
85999,371.0192421868222
86999,260.5053287871796
87999,124.56518847983963
88999,161.05905717516362
89999,242.93120446142203
90999,212.54458124321974
91999,257.5365426985985
92999,144.5087487222619
93999,134.10187166404484
94999,69.97309983748183
95999,184.9301413105878
96999,160.22285082548754
97999,267.160483978943
98999,374.193391730725
99999,226.44114612271832
