Episode,Return
999,53.929117036682534
1999,88.75195850273943
2999,85.60205655096262
3999,96.03129254869725
4999,107.91751914585663
5999,131.40394987761147
6999,122.86604404561544
7999,128.49464597435968
8999,114.55892509027942
9999,137.5386123420238
10999,166.923699141727
11999,128.4163086590592
12999,132.866926894036
13999,126.0588112896201
14999,124.9582127530056
15999,138.90942641210097
16999,158.9682420203432
17999,151.7838508868387
18999,153.50244403966138
19999,139.121841398662
20999,141.38978281396106
21999,132.77262461527175
22999,132.74167143285433
23999,126.64955926770531
24999,135.25581399093252
25999,131.48740906017179
26999,147.96317712935456
27999,154.5890047525273
28999,139.04423173549165
29999,147.80881640124448
30999,136.76106401516708
31999,148.36600909051748
32999,163.80455989824904
33999,174.7012686649571
34999,171.5745889211445
35999,184.98405571640552
36999,214.4514961998555
37999,204.3109569231138
38999,230.96802731703937
39999,168.72411775615055
40999,179.37986218408153
41999,179.119370310949
42999,193.00890101695185
43999,159.75977053940818
44999,146.35897358228016
45999,171.23076273315087
46999,173.08625163119598
47999,169.5534354594102
48999,177.2613921081967
49999,178.31232872965637
