Episode,Return
999,88.85616010203958
1999,111.22591046808148
2999,139.69827384261964
3999,210.45760139028707
4999,404.0245465463637
5999,172.42589344570194
6999,287.51489714223845
7999,169.53955828733487
8999,192.9567541441807
9999,210.30654104562933
10999,192.17201726171953
11999,184.53892165304336
12999,234.43620030494466
13999,158.3762951778335
14999,236.8218024411281
15999,227.70333898590124
16999,190.19349020277383
17999,212.203457145035
18999,186.35397607470003
19999,230.71113641983553
20999,233.2478305624731
21999,209.46254679627458
22999,215.93807256786732
23999,222.11026520296377
24999,248.81386045473997
25999,216.62692894928472
26999,170.11472219181286
27999,152.97595487457522
28999,184.12271110638966
29999,233.36935096521137
30999,279.4442479380202
31999,276.48048367487246
32999,244.96700711442517
33999,274.713825181464
34999,293.0585538253682
35999,207.08859460482086
36999,245.19149581726165
37999,220.51375487467476
38999,261.22262863544745
39999,273.3874795746069
40999,280.94564785537875
41999,293.08615422390506
42999,317.26985029775324
43999,356.7019240897044
44999,288.9994414908694
45999,296.3954249610982
46999,140.0592955461281
47999,110.00334654201546
48999,195.63352013523533
49999,221.99725156251225
