Episode,Return
999,83.08970213806649
1999,129.11118333481863
2999,421.84127040902496
3999,203.74547440920384
4999,156.7035904357595
5999,189.93536996840135
6999,390.51314700883415
7999,391.26545960536305
8999,363.3238765506969
9999,154.1362291650293
10999,144.67628506377815
11999,398.4315170870129
12999,353.3089328258486
13999,346.50356303173663
14999,379.22292231013324
15999,416.53265498664524
16999,432.110002261417
17999,431.6980018555793
18999,184.3180470691427
19999,439.0372678625557
20999,213.96579431729143
21999,211.6373043922314
22999,234.722132058121
23999,397.32722827788837
24999,429.03511130409913
25999,117.44514961686357
26999,233.99542834822165
27999,364.8664821373019
28999,397.9050625747824
29999,412.2206299261393
30999,395.84135224374074
31999,224.57585089432934
32999,105.77652099531838
33999,255.08470940038416
34999,355.78665016516743
35999,365.2191505622432
36999,180.582942453597
37999,175.7437374902179
38999,116.06270912805141
39999,215.1364330904884
40999,155.4286484961375
41999,241.12883589327686
42999,260.97720344978705
43999,230.55720920507991
44999,260.39691988060696
45999,197.20843998509807
46999,221.6101811622529
47999,228.82612157618632
48999,221.72702907479623
49999,186.29157800842145
50999,130.33020119220353
51999,182.16018878199208
52999,151.94954854422173
53999,170.719464671174
54999,186.9797561226635
55999,197.43825268534187
56999,162.07547409636175
57999,218.33623875047118
58999,201.37386014743544
59999,168.41849659121465
60999,199.8588232642636
61999,223.4748305477815
62999,208.60476348019543
63999,159.44235562839742
64999,165.74546680723466
65999,181.24980455415186
66999,175.1750881569197
67999,181.29744126412635
68999,181.6170678654511
69999,149.19111987034267
70999,138.32174580565803
71999,193.8976299881791
72999,115.89544906085504
73999,152.17900138538582
74999,146.1034443990727
75999,143.10946875944128
76999,143.73339045029678
77999,177.00062350116727
78999,198.51091474681056
79999,206.7080749023176
80999,185.69285868231452
81999,210.90130907480193
82999,191.75546408277273
83999,196.48237977084898
84999,205.3599769324992
85999,226.36578968339455
86999,214.50507969780634
87999,315.330641143798
88999,278.3652957824112
89999,192.04595089508769
90999,273.95156733032417
91999,369.86783101397816
92999,198.2189059567495
93999,317.1678471637829
94999,393.61193655071446
95999,362.17823677189426
96999,249.99923073658942
97999,258.1492300653914
98999,220.00418968966892
99999,232.6313940800889
