Episode,Return
999,132.09761712384193
1999,171.27290016071163
2999,126.74730028219535
3999,81.56338334998769
4999,156.98178773268094
5999,167.53149804650906
6999,182.51105894828476
7999,152.05821024765115
8999,182.64919001090047
9999,178.67657071403903
10999,164.91309242658463
11999,181.34627747528052
12999,182.72750484325675
13999,159.2310818368569
14999,186.43277808212383
15999,181.68285997825575
16999,196.16700404064812
17999,186.69802599665402
18999,182.19281607342378
19999,166.35520058476442
20999,182.92725110274142
21999,143.32717330697855
22999,161.97744258267494
23999,165.11741554349123
24999,166.8616512079008
25999,172.23894503389187
26999,183.50413501223352
27999,180.08949944194325
28999,124.32473028990523
29999,192.83390847222546
30999,188.53905130392593
31999,193.42541713367459
32999,177.38010761018285
33999,156.02195112276155
34999,208.15824195767186
35999,169.7473779929877
36999,189.28725570991202
37999,179.45312172166723
38999,201.3388352163807
39999,178.32299403189708
40999,211.26936143621393
41999,205.23271909799996
42999,208.44058166210866
43999,117.50625786784344
44999,227.13555931434024
45999,279.2786015545008
46999,201.27361104345286
47999,282.94018660249196
48999,246.74474872876232
49999,214.23624565280156
50999,267.2878543306659
51999,204.99265834860208
52999,263.65633680754354
53999,251.27738118011195
54999,248.37736474796174
55999,216.791298506947
56999,265.740214791535
57999,225.46325761004172
58999,213.63469331132555
59999,222.91316541344548
60999,220.48805092401244
61999,208.7977452124375
62999,233.39052362231604
63999,224.56406015387265
64999,222.53825639080225
65999,242.72928604795683
66999,341.0704380669372
67999,307.73095385610316
68999,344.77357931989025
69999,385.9407468226663
70999,342.679395236394
71999,297.0732619854874
72999,276.75221763415453
73999,304.29774222762967
74999,265.34970310977667
75999,280.4685362976725
76999,259.0266479915069
77999,278.74641625327826
78999,308.81667245452263
79999,218.53902727099617
80999,257.76814942242777
81999,209.6457725018919
82999,224.0709803850243
83999,196.92994000387588
84999,202.2359039617096
85999,184.86093563958434
86999,228.9160564811835
87999,223.92404290489299
88999,258.85855322433065
89999,238.94894233288056
90999,322.535793277073
91999,269.77947532575627
92999,270.51013305253895
93999,257.7772305758581
94999,224.11629867033326
95999,249.77774699929472
96999,209.09048511771744
97999,250.0889849379525
98999,235.79308787364397
99999,229.21186392619333
