Episode,Return
999,70.32385390658148
1999,108.62507483890988
2999,156.48171710636677
3999,124.54520791521081
4999,162.53239318412253
5999,129.29922444634158
6999,190.77387777063979
7999,168.9562588669682
8999,171.60193750125694
9999,133.34128328814603
10999,133.02907500810727
11999,180.16745215840308
12999,183.38520733166652
13999,162.02164692699128
14999,180.48254317953655
15999,194.3958538420126
16999,191.50184919419033
17999,195.84474528994866
18999,140.82979909642862
19999,195.64518557560956
20999,152.46455308515357
21999,133.18143117487938
22999,154.81759347648634
23999,196.502504177531
24999,239.0586359450569
25999,169.39247747401836
26999,198.638381358849
27999,205.37878032141822
28999,212.99815987418043
29999,233.36869118966328
30999,238.49170561768423
31999,201.86452464988153
32999,188.84049518559297
33999,210.91805846409184
34999,262.5003550633277
35999,216.96587524590487
36999,205.5370745108582
37999,199.83939428532898
38999,195.4914580678057
39999,208.86562584082148
40999,207.07559014178577
41999,229.56150940196926
42999,216.88579336355824
43999,215.59721551469042
44999,244.42363467484492
45999,236.18355626423198
46999,185.65099486477075
47999,207.77639761145255
48999,230.5554172186813
49999,202.424203380692
