Episode,Reward
1,67.82333427874161
2,67.28178741418894
3,66.49183153683906
4,71.41014086054834
5,67.76439723999789
6,69.17028894661135
7,69.28546477287564
8,67.4736589147348
9,69.19167241206094
10,68.48364043359456
11,65.84184733527538
12,68.27919042326859
13,69.53701402246546
14,67.73674463691073
15,67.70059055485062
16,70.89820276647997
17,68.9553401100923
18,67.74947428760063
19,69.24345654660536
20,66.77833599910207
21,66.55313579308365
22,68.89537503136962
23,67.03374688599885
24,71.04211289996748
25,66.99888529943014
26,68.52977672589051
27,68.59992841931117
28,68.90664872322097
29,70.30051078771524
30,68.54597554772678
31,69.09947934651207
32,68.62808595560482
33,67.97531300399473
34,69.43826463979221
35,71.20941286217563
36,70.73679041947844
37,68.83160125476684
38,66.80390756275054
39,69.03602381016165
40,68.19084257621459
41,69.26840014936175
42,67.28858224841744
43,69.42509382965564
44,65.1455213811903
45,69.53424515428023
46,69.78171548239878
47,69.5888086726575
48,68.99008277355628
49,71.30989622611891
50,67.0665076922369
51,64.36227983188037
52,69.72130393519006
53,68.40693196517012
54,67.31766659552957
55,69.74396626612028
56,69.41886267850165
57,69.07749709771153
58,67.26927545967855
59,68.02416579913371
60,69.24284477268924
61,70.10573043232428
62,70.34324061527744
63,70.60234606097865
64,66.63251052788948
65,69.09025416112948
66,70.12484636399013
67,66.98461510115693
68,68.29866565029705
69,69.52271473984099
70,71.13201787034397
71,68.86730678833683
72,69.14230212316241
73,68.8696532469758
74,68.3874476221547
75,65.10344731145025
76,70.58807445192531
77,67.83250916430157
78,70.46606946212201
79,68.82039419770129
80,69.04148375221902
81,69.51510376816518
82,69.09558403287855
83,70.2462823144157
84,66.26051844171953
85,68.92068997907866
86,69.87440801407482
87,68.9210820860601
88,67.92505341477225
89,68.64603146540185
90,67.89235254812249
91,69.0735417430848
92,69.82490874867494
93,69.38117214438068
94,70.71631178345783
95,68.25386379594946
96,68.24939943555756
97,68.76337678239787
98,68.4139853125914
99,67.41966449042165
100,69.73947882494983
101,67.38877485846592
102,69.68014896161989
103,69.3347786768389
104,69.89683621695431
105,68.41140865124957
106,68.21547326473107
107,66.59577807273203
108,68.47137909072129
